Function field,Finite field,Genus,Method,Class number,Time,Timeout
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [6, 8, 7, 25, 2, 9, 27, 10, 29, 5], [14, 10, 8, 27, 3, 18, 15, 14, 24], [22, 20, 6, 19, 0, 14, 2, 12], [17, 22, 4, 0, 7, 10, 25], [25, 29, 1, 15, 16, 27], [6, 20, 10, 6, 16], [25, 10, 28, 19], [10, 0, 10], [16, 5], [1]]))",31,10,Linear algebra,688847852782202,839.440,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [19, 1, 27, 30, 23, 25, 10, 27, 16, 18], [14, 8, 14, 14, 24, 15, 23, 9, 11], [30, 3, 8, 10, 6, 0, 30, 23], [26, 29, 26, 15, 30, 18, 17], [20, 28, 23, 23, 6, 27], [4, 12, 25, 28, 25], [13, 4, 15, 8], [29, 16, 17], [21, 17], [1]]))",31,10,Linear algebra,919558370820744,497.900,false
"FunctionField(Polynomial([FunctionField(GF(13)) | [5, 9, 9, 12, 6, 3, 0, 12, 9, 3, 7, 9, 3, 9], [0, 11, 4, 10, 12, 11, 11, 3, 4, 11, 4, 7], [7, 9, 0, 7, 2, 6, 4, 5, 12, 0, 8, 6], [11, 2, 3, 1, 4, 5, 10, 7, 1, 2, 6], [1, 4, 12, 2, 10, 5, 9, 8, 11, 3], [3, 0, 10, 10, 2, 11, 9, 12, 4], [11, 2, 10, 1, 4, 8, 1, 1], [2, 1, 6, 11, 1, 6, 12], [0, 4, 4, 1, 0, 8], [3, 11, 3, 3, 8], [2, 11, 5, 7], [0, 4, 8], [1, 3], [1]]))",13,13,Linear algebra,,3608.750,true
"FunctionField(Polynomial([FunctionField(GF(13)) | [2, 1, 1, 10, 10, 9, 11, 4, 8, 7, 3, 9, 12, 2], [9, 12, 5, 1, 10, 12, 5, 5, 2, 11, 2, 3, 8], [5, 11, 7, 7, 7, 0, 3, 5, 11, 8, 7, 5], [2, 12, 4, 3, 8, 5, 0, 10, 9, 4, 4], [1, 7, 4, 7, 10, 8, 5, 0, 9, 7], [1, 0, 0, 1, 3, 1, 5, 11, 11], [2, 5, 11, 6, 10, 3, 1, 4], [4, 2, 5, 11, 6, 3, 6], [1, 3, 9, 10, 3, 9], [9, 11, 10, 5, 7], [12, 8, 9, 3], [9, 5], [12, 1], [1]]))",13,13,Linear algebra,,3610.650,true
"FunctionField(Polynomial([FunctionField(GF(13)) | [10, 2, 3, 10, 2, 10, 9, 5, 1, 12, 2, 1, 8, 9], [9, 9, 11, 6, 10, 9, 9, 6, 10, 4, 7, 0, 8], [0, 7, 3, 4, 3, 4, 1, 12, 10, 4, 9, 4], [10, 3, 6, 3, 1, 7, 2, 2, 1, 0, 5], [5, 1, 7, 5, 12, 1, 11, 0, 8, 8], [8, 12, 4, 5, 12, 6, 7, 2], [4, 10, 5, 9, 5, 5, 1, 11], [2, 1, 7, 9, 4, 8, 6], [12, 7, 2, 4, 2, 11], [2, 11, 1, 11, 6], [8, 10, 6, 9], [1, 8, 12], [9, 8], [1]]))",13,13,Magma,,3600.450,true
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [38, 33, 49, 52], [47, 15, 17], [33, 52], [1]]))",59,1,Linear algebra,63,0.170,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [38, 33, 49, 52], [47, 15, 17], [33, 52], [1]]))",59,1,Magma,63,0.270,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [33, 53, 57, 12], [27, 29, 11], [43, 23], [1]]))",59,1,Linear algebra,60,0.180,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [33, 53, 57, 12], [27, 29, 11], [43, 23], [1]]))",59,1,Magma,60,0.310,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [13, 20, 47, 7], [41, 56, 40], [25, 9], [1]]))",59,1,Linear algebra,72,0.220,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [13, 20, 47, 7], [41, 56, 40], [25, 9], [1]]))",59,1,Magma,72,0.510,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [37, 52, 1, 40], [6, 7, 4], [51, 1], [1]]))",59,1,Linear algebra,69,0.210,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [37, 52, 1, 40], [6, 7, 4], [51, 1], [1]]))",59,1,Magma,69,0.470,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [15, 11, 21, 14], [35, 46, 36], [27, 35], [1]]))",59,1,Linear algebra,68,0.200,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [15, 11, 21, 14], [35, 46, 36], [27, 35], [1]]))",59,1,Magma,68,0.330,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [16, 48, 0, 39, 15, 56], [27, 18, 47, 23, 7], [22, 58, 18, 40], [28, 4, 20], [2, 10], [1]]))",59,4,Linear algebra,12212140,2.090,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [16, 48, 0, 39, 15, 56], [27, 18, 47, 23, 7], [22, 58, 18, 40], [28, 4, 20], [2, 10], [1]]))",59,4,Magma,12212140,85.480,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [55, 48, 47, 30, 33, 12], [37, 36, 55, 16, 16], [30, 14, 3, 13], [42, 47, 37], [44, 44], [1]]))",59,4,Linear algebra,13534146,1.770,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [55, 48, 47, 30, 33, 12], [37, 36, 55, 16, 16], [30, 14, 3, 13], [42, 47, 37], [44, 44], [1]]))",59,4,Magma,13534146,84.670,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [26, 31, 9, 9, 36, 39], [35, 12, 41, 58, 55], [8, 15, 29, 58], [43, 14, 35], [23, 42], [1]]))",59,4,Linear algebra,11225415,2.410,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [26, 31, 9, 9, 36, 39], [35, 12, 41, 58, 55], [8, 15, 29, 58], [43, 14, 35], [23, 42], [1]]))",59,4,Magma,11225415,85.190,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [50, 37, 41, 16, 43, 23], [46, 44, 29, 23, 27], [35, 2, 16, 15], [53, 44, 26], [23, 35], [1]]))",59,4,Linear algebra,11530920,1.940,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [50, 37, 41, 16, 43, 23], [46, 44, 29, 23, 27], [35, 2, 16, 15], [53, 44, 26], [23, 35], [1]]))",59,4,Magma,11530920,77.900,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [28, 17, 53, 39, 0, 23], [33, 45, 21, 2, 37], [5, 52, 52, 27], [56, 55, 33], [3, 26], [1]]))",59,4,Linear algebra,16248926,1.890,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [28, 17, 53, 39, 0, 23], [33, 45, 21, 2, 37], [5, 52, 52, 27], [56, 55, 33], [3, 26], [1]]))",59,4,Magma,16248926,84.920,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [19, 29, 22, 6, 3, 6, 7, 5], [33, 57, 36, 11, 49, 55, 43], [48, 31, 56, 54, 27, 19], [18, 40, 9, 3, 6], [10, 31, 58, 25], [40, 21, 46], [11, 27], [1]]))",59,7,Linear algebra,3212484375632,115.210,false
"FunctionField(Polynomial([FunctionField(GF(13)) | [12, 9, 6, 0, 10, 0, 2, 12, 2, 1, 2, 7, 0, 11], [9, 0, 7, 4, 10, 12, 10, 5, 0, 8, 5, 6, 1], [11, 5, 2, 3, 5, 8, 11, 6, 9, 6, 8, 7], [8, 4, 4, 2, 5, 1, 7, 9, 4, 7, 11], [8, 1, 10, 7, 10, 11, 4, 6, 11, 8], [6, 12, 12, 7, 9, 7, 3, 7, 3], [10, 4, 10, 5, 4, 8, 9, 4], [6, 4, 6, 2, 2, 7, 5], [10, 1, 10, 6, 11, 2], [9, 11, 11, 11, 9], [0, 0, 7, 3], [3, 2, 12], [5, 11], [1]]))",13,13,Magma,,3600.580,true
"FunctionField(Polynomial([FunctionField(GF(13)) | [11, 1, 6, 10, 7, 7, 9, 7, 6, 8, 8, 1, 9, 3], [6, 12, 1, 12, 3, 7, 6, 11, 5, 11, 7, 5, 6], [10, 2, 8, 6, 9, 10, 6, 9, 8, 3, 3, 12], [1, 11, 7, 6, 12, 6, 5, 5, 11, 11, 3], [4, 12, 12, 2, 10, 9, 10, 7, 8, 4], [11, 8, 0, 3, 9, 7, 10, 8, 8], [6, 2, 1, 9, 10, 0, 10, 10], [7, 8, 11, 4, 2, 1, 11], [6, 0, 8, 3, 3, 12], [11, 7, 2, 12, 9], [12, 10, 0, 7], [0, 11, 3], [4, 4], [1]]))",13,13,Magma,,3600.420,true
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [8, 0, 5, 23, 14, 10, 6, 17, 28, 19], [30, 10, 7, 11, 21, 20, 19, 26, 5], [25, 30, 4, 13, 18, 12, 3, 8], [18, 12, 5, 19, 10, 3, 28], [8, 14, 30, 28, 16, 9], [30, 27, 4, 29, 16], [11, 10, 2, 7], [8, 7, 10], [9, 29], [1]]))",31,10,Magma,,3600.080,true
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [12, 0, 4, 30, 4, 19, 2, 8, 29, 24], [16, 26, 24, 11, 9, 16, 18, 24, 3], [9, 23, 22, 6, 22, 3, 2, 23], [27, 12, 23, 17, 1, 2, 17], [7, 24, 7, 0, 6, 14], [10, 12, 25, 3, 10], [25, 13, 11, 30], [12, 26, 13], [29, 19], [1]]))",31,10,Magma,,3600.080,true
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [44, 46, 57, 36, 28, 24, 25, 13], [41, 14, 50, 13, 3, 45, 21], [13, 16, 40, 45, 16, 50], [32, 24, 15, 50, 9], [51, 52, 54, 31], [4, 36, 27], [44, 1]]))",59,7,Linear algebra,2586960325098,94.070,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [11, 48, 2, 8, 54, 49, 42, 49], [58, 41, 7, 8, 34, 35, 40], [35, 24, 54, 54, 24, 29], [55, 14, 43, 7, 26], [28, 6, 16, 3], [44, 53, 4], [31, 56], [1]]))",59,7,Linear algebra,2308878099118,148.430,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [46, 41, 52, 15, 53, 6, 12, 55], [33, 15, 27, 10, 46, 45, 47], [32, 39, 10, 52, 53, 53], [33, 50, 43, 51, 28], [14, 10, 12, 3], [35, 56, 50], [32, 44], [1]]))",59,7,Linear algebra,2702645953703,115.860,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [27, 38, 30, 4, 8, 38, 36, 6], [56, 26, 9, 6, 44, 37, 57], [41, 7, 35, 47, 19, 12], [45, 6, 41, 4, 3], [53, 42, 49, 34], [28, 48, 24], [17, 56], [1]]))",59,7,Linear algebra,2314950178307,106.310,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [5, 10, 22, 21, 18, 6, 20, 6, 6, 26], [29, 12, 18, 13, 16, 19, 16, 4, 20], [13, 2, 10, 15, 3, 18, 8, 6], [19, 17, 16, 13, 4, 11, 16], [28, 8, 23, 6, 24, 7], [20, 3, 10, 21, 5], [0, 0, 17, 25], [5, 25, 23], [25, 5], [1]]))",31,10,Magma,,3600.110,true
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [23, 23, 59, 38], [56, 36, 60], [77, 52], [1]]))",97,1,Linear algebra,110,0.280,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [23, 23, 59, 38], [56, 36, 60], [77, 52], [1]]))",97,1,Magma,110,0.550,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [84, 38, 90, 8], [12, 83, 48], [3, 11], [1]]))",97,1,Linear algebra,110,0.290,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [84, 38, 90, 8], [12, 83, 48], [3, 11], [1]]))",97,1,Magma,110,0.600,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [16, 82, 0, 32], [74, 88, 48], [30, 80], [1]]))",97,1,Linear algebra,108,0.320,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [16, 82, 0, 32], [74, 88, 48], [30, 80], [1]]))",97,1,Magma,108,0.680,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [16, 52, 8, 78], [50, 23, 48], [59, 79], [1]]))",97,1,Linear algebra,96,0.360,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [16, 52, 8, 78], [50, 23, 48], [59, 79], [1]]))",97,1,Magma,96,0.460,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [7, 3, 89, 20], [90, 27, 62], [14, 23], [1]]))",97,1,Linear algebra,110,0.270,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [7, 3, 89, 20], [90, 27, 62], [14, 23], [1]]))",97,1,Magma,110,0.650,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [18, 16, 23, 54, 50, 73], [29, 16, 95, 75, 30], [16, 35, 5], [39, 52, 65], [30, 42], [1]]))",97,4,Linear algebra,87503634,3.730,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [11, 48, 2, 8, 54, 49, 42, 49], [58, 41, 7, 8, 34, 35, 40], [35, 24, 54, 54, 24, 29], [55, 14, 43, 7, 26], [28, 6, 16, 3], [44, 53, 4], [31, 56], [1]]))",59,7,Magma,2308878099118,395.360,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [46, 15, 41, 42, 54, 42], [16, 33, 40, 65, 22], [80, 81, 20, 85], [3, 45, 5], [13, 89], [1]]))",97,4,Linear algebra,91030570,2.230,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [46, 15, 41, 42, 54, 42], [16, 33, 40, 65, 22], [80, 81, 20, 85], [3, 45, 5], [13, 89], [1]]))",97,4,Magma,91030570,14.540,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [7, 54, 60, 8, 74, 59], [55, 79, 70, 92, 77], [2, 54, 41, 49], [65, 89, 43], [51, 95], [1]]))",97,4,Linear algebra,114191034,2.640,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [46, 41, 52, 15, 53, 6, 12, 55], [33, 15, 27, 10, 46, 45, 47], [32, 39, 10, 52, 53, 53], [33, 50, 43, 51, 28], [14, 10, 12, 3], [35, 56, 50], [32, 44], [1]]))",59,7,Magma,2702645953703,412.320,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [27, 38, 30, 4, 8, 38, 36, 6], [56, 26, 9, 6, 44, 37, 57], [41, 7, 35, 47, 19, 12], [45, 6, 41, 4, 3], [53, 42, 49, 34], [28, 48, 24], [17, 56], [1]]))",59,7,Magma,2314950178307,400.760,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [72, 24, 0, 20, 38, 20], [44, 3, 11, 83, 55], [48, 90, 7, 65], [83, 8, 59], [76, 42], [1]]))",97,4,Linear algebra,90534062,2.980,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [68, 21, 57, 73, 43, 92], [35, 52, 67, 48, 95], [39, 86, 38, 23], [81, 61, 72], [2, 26], [1]]))",97,4,Linear algebra,93032663,2.710,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [72, 24, 0, 20, 38, 20], [44, 3, 11, 83, 55], [48, 90, 7, 65], [83, 8, 59], [76, 42], [1]]))",97,4,Magma,90534062,10.610,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [7, 54, 60, 8, 74, 59], [55, 79, 70, 92, 77], [2, 54, 41, 49], [65, 89, 43], [51, 95], [1]]))",97,4,Magma,114191034,56.560,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [68, 21, 57, 73, 43, 92], [35, 52, 67, 48, 95], [39, 86, 38, 23], [81, 61, 72], [2, 26], [1]]))",97,4,Magma,93032663,15.310,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [19, 29, 22, 6, 3, 6, 7, 5], [33, 57, 36, 11, 49, 55, 43], [48, 31, 56, 54, 27, 19], [18, 40, 9, 3, 6], [10, 31, 58, 25], [40, 21, 46], [11, 27], [1]]))",59,7,Magma,3212484375632,876.950,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [6, 8, 7, 25, 2, 9, 27, 10, 29, 5], [14, 10, 8, 27, 3, 18, 15, 14, 24], [22, 20, 6, 19, 0, 14, 2, 12], [17, 22, 4, 0, 7, 10, 25], [25, 29, 1, 15, 16, 27], [6, 20, 10, 6, 16], [25, 10, 28, 19], [10, 0, 10], [16, 5], [1]]))",31,10,Magma,,3600.100,true
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [18, 16, 23, 54, 50, 73], [29, 16, 95, 75, 30], [16, 35, 5], [39, 52, 65], [30, 42], [1]]))",97,4,Magma,87503634,560.500,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [19, 1, 27, 30, 23, 25, 10, 27, 16, 18], [14, 8, 14, 14, 24, 15, 23, 9, 11], [30, 3, 8, 10, 6, 0, 30, 23], [26, 29, 26, 15, 30, 18, 17], [20, 28, 23, 23, 6, 27], [4, 12, 25, 28, 25], [13, 4, 15, 8], [29, 16, 17], [21, 17], [1]]))",31,10,Magma,,3600.100,true
"FunctionField(Polynomial([FunctionField(GF(13)) | [5, 9, 9, 12, 6, 3, 0, 12, 9, 3, 7, 9, 3, 9], [0, 11, 4, 10, 12, 11, 11, 3, 4, 11, 4, 7], [7, 9, 0, 7, 2, 6, 4, 5, 12, 0, 8, 6], [11, 2, 3, 1, 4, 5, 10, 7, 1, 2, 6], [1, 4, 12, 2, 10, 5, 9, 8, 11, 3], [3, 0, 10, 10, 2, 11, 9, 12, 4], [11, 2, 10, 1, 4, 8, 1, 1], [2, 1, 6, 11, 1, 6, 12], [0, 4, 4, 1, 0, 8], [3, 11, 3, 3, 8], [2, 11, 5, 7], [0, 4, 8], [1, 3], [1]]))",13,13,Magma,,3600.710,true
"FunctionField(Polynomial([FunctionField(GF(13)) | [2, 1, 1, 10, 10, 9, 11, 4, 8, 7, 3, 9, 12, 2], [9, 12, 5, 1, 10, 12, 5, 5, 2, 11, 2, 3, 8], [5, 11, 7, 7, 7, 0, 3, 5, 11, 8, 7, 5], [2, 12, 4, 3, 8, 5, 0, 10, 9, 4, 4], [1, 7, 4, 7, 10, 8, 5, 0, 9, 7], [1, 0, 0, 1, 3, 1, 5, 11, 11], [2, 5, 11, 6, 10, 3, 1, 4], [4, 2, 5, 11, 6, 3, 6], [1, 3, 9, 10, 3, 9], [9, 11, 10, 5, 7], [12, 8, 9, 3], [9, 5], [12, 1], [1]]))",13,13,Magma,,3600.680,true
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [56, 46, 30, 7, 86, 39, 16, 37], [43, 67, 14, 19, 90, 6, 78], [75, 62, 30, 74, 74, 33], [51, 92, 75, 47, 96], [25, 7, 39, 38], [0, 18, 43], [68, 88], [1]]))",97,7,Linear algebra,80121599143572,370.870,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [53, 12, 78, 15, 58, 30, 83, 12], [73, 93, 81, 49, 90, 77, 84], [85, 46, 91, 69, 65, 84], [58, 41, 49, 91, 59], [2, 73, 41, 64], [14, 50, 17], [56, 86], [1]]))",97,7,Linear algebra,77882116852665,669.340,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [48, 87, 62, 58, 72, 53, 35, 3], [57, 79, 50, 8, 2, 14, 48], [23, 58, 49, 60, 26, 50], [32, 45, 45, 71, 74], [45, 11, 14, 79], [5, 43, 82], [13, 12], [1]]))",97,7,Linear algebra,76282162106636,693.660,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [0, 82, 79, 92, 69, 47, 85, 86], [40, 90, 69, 58, 85, 22, 54], [93, 45, 15, 5, 91, 82], [83, 68, 22, 7, 80], [79, 25, 52, 50], [96, 62, 26], [46, 35], [1]]))",97,7,Linear algebra,89918136292326,735.120,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [1, 25, 69, 37, 23, 60, 87, 19], [82, 78, 83, 34, 48, 40, 67], [21, 47, 75, 83, 32, 47], [56, 71, 92, 3, 4], [7, 11, 69, 74], [7, 95, 59], [55, 14], [1]]))",97,7,Linear algebra,91829566261454,660.330,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [56, 46, 30, 7, 86, 39, 16, 37], [43, 67, 14, 19, 90, 6, 78], [75, 62, 30, 74, 74, 33], [51, 92, 75, 47, 96], [25, 7, 39, 38], [0, 18, 43], [68, 88], [1]]))",97,7,Magma,80121599143572,1629.070,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [0, 82, 79, 92, 69, 47, 85, 86], [40, 90, 69, 58, 85, 22, 54], [93, 45, 15, 5, 91, 82], [83, 68, 22, 7, 80], [79, 25, 52, 50], [96, 62, 26], [46, 35], [1]]))",97,7,Magma,89918136292326,1513.010,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [1, 25, 69, 37, 23, 60, 87, 19], [82, 78, 83, 34, 48, 40, 67], [21, 47, 75, 83, 32, 47], [56, 71, 92, 3, 4], [7, 11, 69, 74], [7, 95, 59], [55, 14], [1]]))",97,7,Magma,91829566261454,1529.210,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [44, 46, 57, 36, 28, 24, 25, 13], [41, 14, 50, 13, 3, 45, 21], [13, 16, 40, 45, 16, 50], [32, 24, 15, 50, 9], [51, 52, 54, 31], [4, 36, 27], [44, 1]]))",59,7,Magma,2586960325098,3379.660,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [53, 12, 78, 15, 58, 30, 83, 12], [73, 93, 81, 49, 90, 77, 84], [85, 46, 91, 69, 65, 84], [58, 41, 49, 91, 59], [2, 73, 41, 64], [14, 50, 17], [56, 86], [1]]))",97,7,Magma,77882116852665,3554.480,false
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [48, 87, 62, 58, 72, 53, 35, 3], [57, 79, 50, 8, 2, 14, 48], [23, 58, 49, 60, 26, 50], [32, 45, 45, 71, 74], [45, 11, 14, 79], [5, 43, 82], [13, 12], [1]]))",97,7,Magma,,3600.050,true
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [57, 12, 51, 44, 21, 32, 48, 49, 24, 57], [54, 35, 21, 9, 28, 44, 0, 36, 7], [54, 40, 42, 12, 40, 27, 54, 33], [39, 36, 9, 43, 56, 22, 52], [42, 7, 48, 6, 46, 46], [20, 45, 50, 22, 38], [34, 0, 40, 46], [24, 28, 55], [48, 1]]))",59,10,Linear algebra,659164946521434206,1369.870,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [52, 5, 13, 4, 2, 19, 41, 15, 10, 27], [22, 37, 29, 50, 27, 7, 34, 11, 25], [28, 55, 56, 1, 29, 11, 11, 5], [18, 12, 7, 0, 35, 30, 33], [35, 22, 46, 36, 2, 6], [44, 31, 11, 49, 44], [13, 36, 4, 50], [45, 2, 22], [48, 5], [1]]))",59,10,Linear algebra,604441493208064862,1902.640,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [20, 42, 27, 52, 46, 43, 24, 15, 9, 33], [30, 5, 23, 56, 22, 9, 36, 45, 24], [53, 31, 25, 33, 48, 38, 43, 25], [49, 13, 53, 0, 4, 3, 54], [44, 46, 47, 3, 27, 43], [15, 6, 28, 21, 51], [11, 40, 18, 42], [44, 58, 15], [17, 26], [1]]))",59,10,Linear algebra,529706296213124167,2252.560,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [0, 41, 0, 10, 3, 13, 39, 40, 19, 26], [39, 5, 58, 36, 0, 2, 15, 41, 2], [56, 9, 53, 38, 23, 39, 8, 22], [31, 41, 56, 31, 5, 3, 53], [22, 11, 53, 4, 6, 27], [18, 42, 26, 14, 39], [1, 28, 46, 13], [12, 15, 51], [22, 22], [1]]))",59,10,Linear algebra,544813981484203154,2306.170,false
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [11, 3, 47, 31, 55, 53, 49, 5, 43, 15], [4, 52, 21, 1, 15, 21, 44, 51, 7], [18, 56, 56, 23, 49, 58, 29, 54], [6, 32, 33, 49, 5, 44, 28], [23, 46, 53, 42, 33, 25], [56, 40, 47, 13, 29], [31, 25, 6, 5], [11, 4, 49], [43, 53], [1]]))",59,10,Linear algebra,427537370596783050,3312.640,false
"FunctionField(Polynomial([FunctionField(GF(31)) | [14, 30, 28, 30, 21, 8, 22, 7, 12, 13, 17, 5, 12, 22], [18, 0, 28, 30, 23, 0, 6, 20, 19, 28, 9, 7, 8], [24, 8, 23, 12, 23, 15, 1, 17, 0, 17, 13, 10], [12, 3, 22, 18, 11, 9, 18, 1, 5, 14, 13], [21, 22, 5, 19, 8, 0, 27, 3, 17, 18], [6, 17, 14, 28, 17, 30, 26, 15, 6], [22, 7, 1, 30, 24, 24, 6, 9], [24, 27, 3, 14, 17, 27, 29], [26, 7, 28, 10, 2, 29], [13, 24, 21, 23, 19], [15, 24, 19, 23], [3, 15, 15], [28, 25], [1]]))",31,13,Linear algebra,,3603.890,true
"FunctionField(Polynomial([FunctionField(GF(31)) | [3, 20, 15, 8, 2, 4, 19, 18, 23, 18, 24, 6, 12, 30], [11, 2, 25, 14, 19, 25, 10, 20, 17, 14, 16, 7, 23], [18, 21, 27, 21, 1, 22, 5, 3, 8, 17, 6, 30], [25, 19, 13, 24, 21, 12, 8, 6, 10, 29, 25], [11, 18, 21, 3, 8, 25, 4, 3, 9, 11], [8, 16, 20, 2, 0, 2, 17, 20, 23], [7, 20, 25, 0, 26, 17, 12, 19], [2, 10, 20, 27, 12, 2, 15], [7, 25, 1, 6, 7, 23], [19, 4, 15, 29, 25], [11, 9, 29, 20], [23, 1, 17], [9, 5], [1]]))",31,13,Linear algebra,,3604.440,true
"FunctionField(Polynomial([FunctionField(GF(31)) | [18, 12, 17, 15, 28, 9, 21, 13, 17, 11, 1, 20, 2, 29], [2, 4, 7, 20, 28, 28, 13, 18, 7, 28, 4, 6, 10], [6, 30, 13, 29, 23, 22, 9, 21, 15, 13, 11, 8], [8, 18, 22, 25, 9, 2, 5, 26, 20, 26, 16], [1, 5, 17, 17, 0, 27, 11, 22, 6, 18], [7, 25, 14, 16, 3, 9, 6, 15, 6], [7, 10, 0, 9, 0, 17, 10, 22], [12, 12, 27, 13, 15, 29, 29], [24, 22, 15, 12, 1, 2], [26, 10, 22, 30], [29, 25, 26, 27], [2, 8, 13], [15, 20], [1]]))",31,13,Linear algebra,,3604.280,true
"FunctionField(Polynomial([FunctionField(GF(31)) | [3, 20, 24, 23, 11, 23, 3, 11, 22, 13, 12, 27, 8, 19], [17, 19, 15, 3, 29, 22, 7, 10, 11, 22, 23, 19, 1], [18, 0, 21, 19, 0, 6, 18, 28, 18, 18, 30, 6], [4, 10, 25, 12, 13, 16, 28, 2, 2, 28, 21], [17, 29, 13, 11, 6, 17, 13, 8, 30, 21], [12, 4, 28, 12, 27, 5, 4, 15, 18], [27, 13, 24, 4, 8, 21, 16, 20], [20, 7, 27, 2, 3, 29, 4], [10, 4, 13, 18, 13, 25], [11, 0, 25, 20], [1, 9, 0, 20], [1, 18, 21], [24, 1]]))",31,13,Linear algebra,,3605.410,true
"FunctionField(Polynomial([FunctionField(GF(31)) | [29, 17, 20, 16, 0, 2, 20, 21, 30, 9, 13, 25, 14, 6], [9, 6, 19, 30, 6, 0, 27, 23, 15, 23, 14, 28, 15], [13, 16, 14, 16, 11, 13, 15, 26, 30, 20, 19, 10], [18, 9, 17, 28, 8, 3, 22, 4, 14, 3, 3], [6, 4, 11, 0, 4, 21, 13, 10, 16, 20], [5, 19, 28, 14, 7, 30, 14, 28, 14], [26, 6, 2, 22, 28, 29, 6, 23], [21, 19, 0, 11, 29, 12, 19], [10, 25, 1, 6, 13, 16], [7, 2, 30, 15, 8], [15, 17, 20, 22], [29, 8, 10], [2, 1]]))",31,13,Linear algebra,,3606.720,true
