Function field,Finite field,Genus,Method,Class number,Time,Timeout
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [3, 3, 0, 3, 4, 3], [4, 0, 4, 2, 4], [3, 2, 3, 3], [3, 2, 3], [1, 4], [1]]))",5,4,Linear algebra,1243,0.230,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [0, 0, 3, 3, 0, 4], [0, 3, 4, 1, 2], [3, 2, 0, 2], [3, 1], [2, 1], [1]]))",5,4,Linear algebra,985,0.350,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [3, 3, 0, 3, 4, 3], [4, 0, 4, 2, 4], [3, 2, 3, 3], [3, 2, 3], [1, 4], [1]]))",5,4,Magma,1243,0.290,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [0, 0, 3, 3, 0, 4], [0, 3, 4, 1, 2], [3, 2, 0, 2], [3, 1], [2, 1], [1]]))",5,4,Magma,985,0.360,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [3, 2, 0, 4, 0, 1], [4, 0, 0, 1, 2], [1, 1, 2, 4], [4, 2, 4], [2, 4], [1]]))",5,4,Linear algebra,992,0.180,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [3, 2, 0, 4, 0, 1], [4, 0, 0, 1, 2], [1, 1, 2, 4], [4, 2, 4], [2, 4], [1]]))",5,4,Magma,992,0.430,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 0, 1, 1, 1, 0, 1, 0, 1, 1], [0, 0, 0, 1, 0, 1, 0, 0, 1], [0, 0, 1, 1, 0, 0, 1, 1], [0, 1, 1, 1, 1, 1, 1], [0, 1, 1, 1, 1, 1], [1, 1, 0, 1, 1], [1, 0, 1], [1], [1]]))",2,10,Magma,1166,4.100,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 0, 0, 1, 0, 1, 1, 1, 0, 1], [0, 1, 1, 0, 0, 1, 1, 1, 1], [1, 0, 0, 0, 0, 1, 0, 1], [0, 1, 0, 1], [1, 0, 0, 0, 0, 1], [0, 0, 1, 0, 1], [1, 1, 0, 1], [0, 0, 1], [1, 1]]))",2,10,Magma,1534,5.500,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [1, 3, 2, 1, 0, 2, 3, 4], [4, 0, 4, 4, 0, 3, 2], [3, 3, 2, 0, 3, 4], [2, 3, 1, 1, 4], [1, 0, 4, 1], [1, 3, 2], [4, 1]]))",5,7,Linear algebra,56172,1.140,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 1, 1, 1, 0, 1, 1, 1, 1, 1], [1, 0, 1, 0, 1, 1, 0, 1], [1, 0, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 1], [1, 1, 0, 1, 1, 1], [0, 1], [0, 0, 1], [1, 1], [1]]))",2,10,Magma,1710,3.840,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [2, 3, 3, 3, 1, 0, 3, 4], [3, 4, 1, 2, 3, 1, 2], [0, 0, 1, 2, 0, 1], [4, 1, 4, 0, 1], [3, 4, 4, 3], [1, 0, 4], [3, 1], [1]]))",5,7,Linear algebra,119596,1.270,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [1, 1, 4, 4, 1, 3, 4, 2], [3, 3, 3, 4, 1, 1], [3, 3, 3, 0, 3, 2], [0, 0, 0, 0, 3], [0, 3, 0, 3], [0, 0, 4], [1, 4], [1]]))",5,7,Linear algebra,76559,1.110,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [4, 0, 2, 4, 2, 2, 2], [1, 2, 1, 4, 2, 3, 1], [2, 1, 3, 4, 4], [3, 2, 3, 1, 1], [0, 4, 4], [4, 3, 2], [3, 1]]))",5,7,Linear algebra,310868,5.000,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [0, 0, 0, 3, 3, 1, 3, 4], [1, 2, 0, 4, 3, 2, 3], [1, 2, 2, 0, 1, 3], [2, 1, 3, 3, 1], [3, 2, 2, 4], [1, 4, 4], [], [1]]))",5,7,Linear algebra,111203,5.500,false
"FunctionField(Polynomial([FunctionField(GF(2)) | [0, 0, 0, 1, 0, 1, 1, 0, 0, 1], [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1], [0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 0, 1, 1, 1, 1, 1], [0, 0, 1, 1, 0, 0, 0, 1], [0, 0, 1, 0, 0, 1, 1, 1], [1, 0, 0, 1, 0, 1, 1], [1, 0, 0, 0, 1], [1, 0, 0, 0, 1]]))",2,13,Magma,60944,8.060,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [1, 3, 2, 1, 0, 2, 3, 4], [4, 0, 4, 4, 0, 3, 2], [3, 3, 2, 0, 3, 4], [2, 3, 1, 1, 4], [1, 0, 4, 1], [1, 3, 2], [4, 1]]))",5,7,Magma,56172,5.400,false
"FunctionField(Polynomial([FunctionField(GF(2)) | [1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1], [0, 1, 1, 0, 1, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 1, 1, 1], [1, 0, 1, 1, 0, 0, 1, 0, 1, 1], [1, 0, 1, 0, 1, 0, 1, 0, 1], [1, 0, 0, 0, 0, 1, 0, 1], [0, 1], [0, 0, 1, 1, 0, 1], [1, 0, 0, 1, 1, 1], [0, 0, 0, 1], [1, 1, 0, 1]]))",2,13,Linear algebra,69174,13.830,false
