Level,Finite field,Genus,Method,Class number,Time,Timeout
"66",31,9,Linear algebra,19200000000000,78.100,false
"57",97,5,Magma,7698240000,1125.620,false
"67",2,5,Linear algebra,209,0.360,false
"67",2,5,Magma,209,0.250,false
"67",3,5,Linear algebra,1914,0.360,false
"67",3,5,Magma,1914,0.240,false
"67",7,5,Linear algebra,33550,0.750,false
"67",7,5,Magma,33550,0.970,false
"67",17,5,Linear algebra,1438800,2.620,false
"67",17,5,Magma,1438800,6.250,false
"67",31,5,Linear algebra,44777502,7.740,false
"66",59,9,Linear algebra,6476709888000000,372.100,false
"67",31,5,Magma,44777502,38.670,false
"67",59,5,Linear algebra,647806896,49.730,false
"67",59,5,Magma,647806896,85.580,false
"67",97,5,Linear algebra,8645561078,15.590,false
"63",97,5,Magma,3612672000,582.010,false
"68",3,7,Linear algebra,13824,0.610,false
"68",3,7,Magma,13824,1.070,false
"68",7,7,Linear algebra,718848,1.400,false
"68",7,7,Magma,718848,2.220,false
"68",31,7,Linear algebra,30213679104,10.560,false
"68",31,7,Magma,30213679104,21.690,false
"68",59,7,Linear algebra,3902083891200,34.290,false
"68",59,7,Magma,3902083891200,77.670,false
"67",97,5,Magma,8645561078,402.420,false
"69",2,7,Linear algebra,968,0.500,false
"69",2,7,Magma,968,0.620,false
"69",7,7,Linear algebra,851840,0.730,false
"69",7,7,Magma,851840,2.760,false
"69",17,7,Linear algebra,355062400,3.440,false
"69",17,7,Magma,355062400,10.670,false
"69",31,7,Linear algebra,30486091328,13.960,false
"66",97,9,Linear algebra,1053894094848000000,965.830,false
"69",31,7,Magma,30486091328,56.200,false
"66",31,9,Magma,19200000000000,998.560,false
"69",59,7,Linear algebra,2460471754752,54.910,false
"68",97,7,Linear algebra,57233048076288,454.850,false
"69",59,7,Magma,2460471754752,397.070,false
"70",3,9,Linear algebra,331776,4.970,false
"70",3,9,Magma,331776,8.710,false
"69",97,7,Linear algebra,53900514505728,439.690,false
"70",17,9,Linear algebra,89712230400,44.810,false
"70",17,9,Magma,89712230400,374.980,false
"70",31,9,Linear algebra,42268920643584,83.240,false
"70",31,9,Magma,42268920643584,238.700,false
"41",7,3,Linear algebra,,3600.490,true
"41",7,3,Magma,190,0.310,false
"70",59,9,Linear algebra,17890364148940800,331.200,false
"48",31,3,Linear algebra,,3600.130,true
"48",31,3,Magma,23040,0.550,false
"71",2,6,Linear algebra,315,0.130,false
"71",2,6,Magma,315,0.190,false
"71",3,6,Linear algebra,1575,0.250,false
"71",3,6,Magma,1575,0.260,false
"71",7,6,Linear algebra,78400,0.670,false
"71",7,6,Magma,78400,1.200,false
"71",17,6,Linear algebra,28929600,0.930,false
"71",17,6,Magma,28929600,3.270,false
"71",31,6,Linear algebra,847347200,3.390,false
"71",31,6,Magma,847347200,25.960,false
"71",59,6,Linear algebra,69366122560,11.200,false
"71",59,6,Magma,69366122560,7.930,false
